0.13,0.0,57.77778,
0.2905,0.1275,129.11111,
0.0025,0.0025,1.1111112,
0.16425,0.0,73.0,
0.36775,0.16175,163.44444,
0.0025,0.0025,1.1111112,
0.0025,0.0,1.1111112,
0.21025,0.0025,93.44444,
0.0025,0.0025,1.1111112,
0.0025,0.0,1.1111112,
0.2135,0.0025,94.888885,
0.0025,0.0025,1.1111112,
0.0025,0.0,1.1111112,
0.2165,0.0025,96.22222,
0.0025,0.0025,1.1111112,
0.0025,0.0,1.1111112,
0.21975,0.0025,97.666664,
0.0025,0.0025,1.1111112,
0.0025,0.0,1.1111112,
0.22275,0.0025,99.0,
0.0025,0.0025,1.1111112,
0.0025,0.0,1.1111112,
0.226,0.0025,100.44444,
0.0025,0.0025,1.1111112,
0.0025,0.0,1.1111112,
0.229,0.0025,101.77778,
0.0025,0.0025,1.1111112,
0.0025,0.0,1.1111112,
0.23225,0.0025,103.22222,
0.0025,0.0025,1.1111112,
0.23225,0.0,103.22222,
0.0,0.08575,0.0,
0.0,0.0,0.0,
